"age","education.num","occupation","race","sex","hours.per.week","income","marital.statusN","educationN","workclassN","native.countryN"
46,9," Adm-clerical"," Black"," Female",39," <=50K"," Seperated"," School"," Gov"," United-States"
37,8," Other-service"," Black"," Female",39," <=50K"," Seperated"," School"," Private"," United-States"
27,8," Adm-clerical"," White"," Female",34," <=50K"," Widowed"," School"," Private"," United-States"
20,3," Craft-repair"," Asian-Pac-Islander"," Female",19," <=50K"," Unmaried"," School"," Private"," Other"
49,13," Other-service"," White"," Male",49," <=50K"," Maried"," Bachelors"," Self employed"," United-States"
43,12," Prof-specialty"," Asian-Pac-Islander"," Male",65," >50K"," Maried"," Bachelors"," Self employed"," United-States"
42,12," Sales"," White"," Male",49," <=50K"," Maried"," Bachelors"," Self employed"," United-States"
31,9," Machine-op-inspct"," Amer-Indian-Eskimo"," Male",8," <=50K"," Maried"," School"," Gov"," Other"
88,12," Prof-specialty"," White"," Female",63," >50K"," Seperated"," Bachelors"," Self employed"," United-States"
47,13," Sales"," White"," Male",56," >50K"," Maried"," Bachelors"," Self employed"," United-States"
28,8," Prof-specialty"," Black"," Female",39," <=50K"," Unmaried"," School"," Gov"," United-States"
31,10," Adm-clerical"," White"," Female",39," >50K"," Maried"," Assoc_Degree"," Gov"," United-States"
61,13," Exec-managerial"," Black"," Male",55," >50K"," Maried"," Post-Graduate"," Self employed"," United-States"
31,8," Other-service"," Black"," Male",43," <=50K"," Seperated"," School"," Gov"," United-States"
19,5," Handlers-cleaners"," White"," Female",29," <=50K"," Unmaried"," School"," Private"," United-States"
40,9," Prof-specialty"," White"," Male",39," >50K"," Maried"," School"," Gov"," Other"
35,9," Handlers-cleaners"," White"," Male",19," <=50K"," Maried"," School"," Self employed"," United-States"
40,3," Transport-moving"," White"," Male",39," >50K"," Maried"," School"," Self employed"," United-States"
46,9," Adm-clerical"," Asian-Pac-Islander"," Female",29," <=50K"," Unmaried"," School"," Private"," United-States"
51,12," Sales"," White"," Male",39," >50K"," Maried"," Bachelors"," Self employed"," United-States"
21,8," Other-service"," White"," Female",40," <=50K"," Unmaried"," School"," Private"," Other"
23,12," Sales"," White"," Male",63," <=50K"," Maried"," Bachelors"," Self employed"," United-States"
46,12," Prof-specialty"," White"," Female",44," <=50K"," Unmaried"," Assoc_Degree"," Self employed"," United-States"
49,6," Machine-op-inspct"," Black"," Male",39," <=50K"," Maried"," School"," Gov"," United-States"
40,9," Sales"," White"," Male",55," >50K"," Maried"," School"," Gov"," United-States"
15,7," Handlers-cleaners"," White"," Female",42," <=50K"," Unmaried"," School"," Private"," United-States"
18,3," Machine-op-inspct"," Other"," Female",28," <=50K"," Unmaried"," School"," Private"," United-States"
19,9," Other-service"," White"," Male",21," <=50K"," Seperated"," School"," Private"," United-States"
26,10," Other-service"," White"," Female",40," <=50K"," Unmaried"," School"," Private"," Other"
48,9," Adm-clerical"," Amer-Indian-Eskimo"," Female",39," <=50K"," Widowed"," School"," Private"," United-States"
32,13," Exec-managerial"," White"," Male",60," >50K"," Maried"," Bachelors"," Private"," United-States"
53,13," Prof-specialty"," Asian-Pac-Islander"," Male",56," <=50K"," Maried"," Post-Graduate"," Private"," Other"
45,8," Adm-clerical"," Black"," Female",39," <=50K"," Seperated"," School"," Gov"," United-States"
50,7," Prof-specialty"," White"," Female",40," <=50K"," Widowed"," School"," Private"," United-States"
44,10," Exec-managerial"," White"," Female",39," <=50K"," Unmaried"," School"," Private"," United-States"
23,6," Other-service"," White"," Female",39," <=50K"," Unmaried"," School"," Private"," United-States"
27,8," Adm-clerical"," White"," Female",39," <=50K"," Seperated"," School"," Gov"," United-States"
35,15," Farming-fishing"," White"," Male",66," <=50K"," Maried"," Bachelors"," Self employed"," United-States"
39,9," Sales"," White"," Male",52," >50K"," Maried"," School"," Private"," United-States"
35,9," Adm-clerical"," Black"," Female",34," <=50K"," Seperated"," School"," Gov"," United-States"
40,9," Tech-support"," Black"," Female",42," >50K"," Maried"," School"," Private"," United-States"
40,12," Craft-repair"," White"," Male",56," >50K"," Maried"," Bachelors"," Self employed"," United-States"
51,12," Adm-clerical"," Black"," Female",39," <=50K"," Seperated"," Bachelors"," Private"," United-States"
84,12," Exec-managerial"," White"," Male",59," >50K"," Maried"," Bachelors"," Self employed"," United-States"
42,15," Prof-specialty"," Asian-Pac-Islander"," Male",57," >50K"," Maried"," Bachelors"," Self employed"," Other"
48,12," Adm-clerical"," Black"," Female",39," >50K"," Maried"," Assoc_Degree"," Private"," Other"
47,9," Tech-support"," Black"," Female",44," <=50K"," Seperated"," School"," Private"," United-States"
41,15," Prof-specialty"," White"," Male",57," >50K"," Maried"," Bachelors"," Self employed"," United-States"
40,10," Adm-clerical"," White"," Female",29," <=50K"," Seperated"," School"," Private"," United-States"
42,9," Craft-repair"," White"," Male",39," >50K"," Maried"," School"," Private"," United-States"
40,15," Prof-specialty"," White"," Male",58," <=50K"," Unmaried"," Bachelors"," Private"," United-States"
58,6," Prof-specialty"," Amer-Indian-Eskimo"," Female",39," <=50K"," Seperated"," School"," Private"," United-States"
29,9," Adm-clerical"," Black"," Female",29," <=50K"," Seperated"," School"," Gov"," United-States"
52,12," Transport-moving"," White"," Male",44," <=50K"," Maried"," Assoc_Degree"," Self employed"," United-States"
65,3," Craft-repair"," White"," Female",40," <=50K"," Seperated"," School"," Private"," United-States"
20,9," Adm-clerical"," White"," Male",29," <=50K"," Unmaried"," School"," Private"," United-States"
23,12," Prof-specialty"," White"," Male",70," <=50K"," Unmaried"," Bachelors"," Private"," United-States"
49,13," Prof-specialty"," White"," Male",43," >50K"," Seperated"," Post-Graduate"," Private"," Other"
41,9," Exec-managerial"," White"," Female",35," <=50K"," Seperated"," School"," Private"," United-States"
20,9," Other-service"," Black"," Male",15," <=50K"," Unmaried"," School"," Private"," United-States"
19,10," Farming-fishing"," White"," Male",39," <=50K"," Unmaried"," Assoc_Degree"," Private"," United-States"
20,10," Handlers-cleaners"," Black"," Female",28," <=50K"," Unmaried"," School"," Private"," United-States"
44,12," Sales"," White"," Female",29," <=50K"," Unmaried"," Bachelors"," Private"," United-States"
43,6," Adm-clerical"," Black"," Female",29," <=50K"," Seperated"," School"," Gov"," United-States"
26,10," Tech-support"," White"," Female",39," <=50K"," Unmaried"," Assoc_Degree"," Private"," United-States"
49,9," Adm-clerical"," White"," Female",39," >50K"," Seperated"," School"," Private"," United-States"
17,10," Exec-managerial"," Black"," Female",28," <=50K"," Seperated"," School"," Self employed"," United-States"
35,9," Exec-managerial"," White"," Male",44," <=50K"," Seperated"," School"," Self employed"," Other"
42,3," Craft-repair"," White"," Male",42," >50K"," Maried"," School"," Private"," United-States"
58,8," Craft-repair"," White"," Male",39," >50K"," Maried"," School"," Private"," Other"
40,10," Sales"," Black"," Female",29," <=50K"," Unmaried"," School"," Private"," Other"
39,9," Sales"," White"," Male",39," <=50K"," Maried"," School"," Private"," United-States"
49,12," Machine-op-inspct"," Asian-Pac-Islander"," Female",43," >50K"," Maried"," Assoc_Degree"," Private"," Other"
42,8," Adm-clerical"," Black"," Female",28," <=50K"," Maried"," School"," Without-pay"," United-States"
49,9," Prof-specialty"," Black"," Female",44," <=50K"," Unmaried"," School"," Private"," Other"
24,9," Adm-clerical"," White"," Male",39," <=50K"," Unmaried"," School"," Private"," United-States"
26,8," Craft-repair"," White"," Female",39," <=50K"," Maried"," Assoc_Degree"," Private"," United-States"
44,9," Craft-repair"," White"," Male",19," <=50K"," Maried"," School"," Private"," United-States"
25,12," Machine-op-inspct"," White"," Female",39," <=50K"," Unmaried"," Bachelors"," Private"," Other"
39,12," Tech-support"," White"," Female",39," <=50K"," Seperated"," Bachelors"," Private"," United-States"
43,8," Sales"," White"," Male",39," >50K"," Maried"," School"," Private"," United-States"
55,12," Prof-specialty"," Asian-Pac-Islander"," Male",57," <=50K"," Unmaried"," Bachelors"," Private"," Other"
35,9," Craft-repair"," White"," Male",63," <=50K"," Maried"," School"," Self employed"," United-States"
48,12," Prof-specialty"," Asian-Pac-Islander"," Male",43," >50K"," Maried"," Bachelors"," Gov"," United-States"
35,12," Craft-repair"," White"," Male",39," <=50K"," Maried"," School"," Private"," United-States"
43,9," Adm-clerical"," Black"," Female",39," <=50K"," Seperated"," School"," Private"," United-States"
51,8," Craft-repair"," White"," Male",55," <=50K"," Maried"," School"," Private"," United-States"
75,7," Exec-managerial"," White"," Female",29," <=50K"," Widowed"," School"," Private"," United-States"
43,9," Craft-repair"," White"," Male",39," <=50K"," Maried"," School"," Gov"," United-States"
26,10," Handlers-cleaners"," Asian-Pac-Islander"," Male",17," <=50K"," Unmaried"," School"," Private"," Other"
39,10," Adm-clerical"," White"," Female",44," >50K"," Unmaried"," Assoc_Degree"," Private"," United-States"
36,12," Tech-support"," White"," Female",44," <=50K"," Seperated"," School"," Private"," United-States"
45,9," Adm-clerical"," Black"," Female",39," <=50K"," Maried"," School"," Private"," United-States"
34,13," Sales"," White"," Male",39," >50K"," Maried"," Bachelors"," Self employed"," United-States"
32,8," Adm-clerical"," White"," Female",39," <=50K"," Unmaried"," School"," Private"," United-States"
66,12," Sales"," White"," Male",57," <=50K"," Maried"," School"," Self employed"," United-States"
40,12," Adm-clerical"," Asian-Pac-Islander"," Male",60," <=50K"," Maried"," School"," Self employed"," United-States"
43,3," Craft-repair"," White"," Male",39," <=50K"," Maried"," School"," Private"," United-States"
40,15," Prof-specialty"," White"," Male",39," >50K"," Seperated"," Bachelors"," Gov"," United-States"
42,10," Adm-clerical"," White"," Female",34," >50K"," Seperated"," School"," Private"," United-States"
24,12," Prof-specialty"," White"," Female",39," <=50K"," Unmaried"," School"," Private"," United-States"
19,10," Protective-serv"," White"," Male",40," <=50K"," Unmaried"," School"," Gov"," United-States"
50,12," Exec-managerial"," Asian-Pac-Islander"," Male",55," >50K"," Maried"," Bachelors"," Self employed"," United-States"
42,14," Prof-specialty"," Asian-Pac-Islander"," Male",56," >50K"," Maried"," Post-Graduate"," Private"," Other"
47,8," Sales"," White"," Male",39," <=50K"," Maried"," School"," Gov"," United-States"
33,11," Prof-specialty"," White"," Female",45," >50K"," Unmaried"," Assoc_Degree"," Gov"," United-States"
54,12," Other-service"," White"," Male",55," <=50K"," Maried"," Bachelors"," Self employed"," United-States"
24,9," Handlers-cleaners"," Black"," Male",39," <=50K"," Unmaried"," School"," Private"," United-States"
16,7," Prof-specialty"," Other"," Male",11," <=50K"," Unmaried"," School"," Private"," United-States"
40,9," Adm-clerical"," White"," Female",39," <=50K"," Seperated"," School"," Private"," Other"
46,5," Adm-clerical"," White"," Female",29," <=50K"," Seperated"," School"," Gov"," United-States"
32,11," Sales"," Asian-Pac-Islander"," Male",34," <=50K"," Maried"," Bachelors"," Private"," Other"
49,3," Sales"," Other"," Male",49," <=50K"," Maried"," School"," Private"," Other"
20,15," Adm-clerical"," Black"," Female",30," <=50K"," Unmaried"," Assoc_Degree"," Private"," United-States"
36,9," Other-service"," Other"," Male",39," <=50K"," Maried"," School"," Private"," United-States"
47,3," Farming-fishing"," White"," Male",65," <=50K"," Maried"," Bachelors"," Self employed"," United-States"
43,9," Craft-repair"," White"," Male",39," <=50K"," Unmaried"," School"," Private"," United-States"
39,3," Craft-repair"," White"," Male",39," <=50K"," Unmaried"," School"," Private"," Other"
40,7," Handlers-cleaners"," White"," Female",30," <=50K"," Unmaried"," School"," Private"," United-States"
47,4," Transport-moving"," White"," Male",33," <=50K"," Unmaried"," School"," Private"," United-States"
63,9," Exec-managerial"," White"," Male",44," >50K"," Maried"," School"," Private"," United-States"
22,12," Prof-specialty"," Black"," Female",39," <=50K"," Unmaried"," Bachelors"," Gov"," United-States"
22,9," Handlers-cleaners"," White"," Female",39," <=50K"," Widowed"," School"," Private"," United-States"
77,15," Exec-managerial"," Asian-Pac-Islander"," Male",45," >50K"," Maried"," Bachelors"," Private"," Other"
51,3," Machine-op-inspct"," Black"," Male",39," <=50K"," Maried"," School"," Private"," Other"
24,8," Prof-specialty"," Black"," Male",40," <=50K"," Unmaried"," School"," Private"," United-States"
23,10," Tech-support"," Black"," Female",39," <=50K"," Unmaried"," Assoc_Degree"," Private"," United-States"
39,13," Exec-managerial"," White"," Male",56," >50K"," Maried"," School"," Gov"," United-States"
47,10," Exec-managerial"," White"," Male",49," <=50K"," Maried"," School"," Private"," United-States"
78,12," Exec-managerial"," Amer-Indian-Eskimo"," Male",57," >50K"," Maried"," Bachelors"," Self employed"," United-States"
33,8," Transport-moving"," White"," Male",56," <=50K"," Widowed"," School"," Private"," United-States"
20,10," Adm-clerical"," Black"," Male",39," <=50K"," Unmaried"," School"," Gov"," United-States"
48,5," Handlers-cleaners"," White"," Male",71," <=50K"," Maried"," School"," Private"," United-States"
22,12," Sales"," White"," Male",56," <=50K"," Unmaried"," Bachelors"," Private"," United-States"
42,9," Adm-clerical"," White"," Female",28," <=50K"," Maried"," School"," Private"," United-States"
41,3," Prof-specialty"," Asian-Pac-Islander"," Female",42," <=50K"," Unmaried"," School"," Private"," Other"
42,8," Craft-repair"," White"," Male",39," >50K"," Maried"," School"," Private"," United-States"
45,11," Adm-clerical"," Asian-Pac-Islander"," Male",39," <=50K"," Maried"," Assoc_Degree"," Self employed"," United-States"
38,12," Exec-managerial"," White"," Female",40," >50K"," Seperated"," Bachelors"," Self employed"," United-States"
23,8," Adm-clerical"," Asian-Pac-Islander"," Female",55," <=50K"," Unmaried"," School"," Private"," United-States"
26,11," Adm-clerical"," White"," Male",40," <=50K"," Maried"," Assoc_Degree"," Self employed"," United-States"
35,5," Other-service"," Black"," Female",39," <=50K"," Unmaried"," School"," Private"," United-States"
53,14," Prof-specialty"," White"," Male",55," >50K"," Maried"," Bachelors"," Self employed"," United-States"
46,3," Transport-moving"," White"," Male",39," <=50K"," Maried"," School"," Private"," United-States"
42,8," Machine-op-inspct"," White"," Female",39," >50K"," Maried"," School"," Private"," United-States"
42,9," Exec-managerial"," Black"," Male",28," >50K"," Seperated"," School"," Private"," United-States"
50,11," Adm-clerical"," White"," Female",58," >50K"," Maried"," Assoc_Degree"," Private"," United-States"
41,9," Tech-support"," White"," Female",40," <=50K"," Unmaried"," School"," Private"," United-States"
67,9," Tech-support"," White"," Male",55," >50K"," Maried"," Bachelors"," Self employed"," United-States"
37,13," Exec-managerial"," Asian-Pac-Islander"," Male",68," <=50K"," Unmaried"," Bachelors"," Self employed"," Other"
40,14," Prof-specialty"," Asian-Pac-Islander"," Male",62," >50K"," Maried"," Bachelors"," Self employed"," United-States"
20,10," Exec-managerial"," Asian-Pac-Islander"," Female",8," <=50K"," Unmaried"," School"," Private"," United-States"
43,14," Exec-managerial"," White"," Male",39," >50K"," Unmaried"," Post-Graduate"," Private"," United-States"
48,15," Sales"," White"," Female",39," <=50K"," Widowed"," Post-Graduate"," Private"," United-States"
37,9," Other-service"," White"," Female",34," <=50K"," Unmaried"," School"," Private"," United-States"
53,9," Other-service"," Black"," Male",34," <=50K"," Unmaried"," School"," Private"," United-States"
49,14," Sales"," White"," Female",39," <=50K"," Unmaried"," Post-Graduate"," Private"," United-States"
39,12," Prof-specialty"," Black"," Male",44," <=50K"," Unmaried"," Bachelors"," Self employed"," United-States"
25,13," Exec-managerial"," White"," Male",49," <=50K"," Unmaried"," Bachelors"," Gov"," United-States"
26,9," Other-service"," Black"," Male",36," <=50K"," Unmaried"," School"," Private"," United-States"
59,8," Exec-managerial"," White"," Male",10," >50K"," Maried"," School"," Self employed"," United-States"
52,12," Adm-clerical"," White"," Female",20," <=50K"," Widowed"," School"," Self employed"," United-States"
58,8," Handlers-cleaners"," Black"," Female",39," <=50K"," Seperated"," School"," Private"," United-States"
39,9," Adm-clerical"," Black"," Female",29," <=50K"," Unmaried"," School"," Private"," United-States"
54,3," Exec-managerial"," White"," Male",44," <=50K"," Maried"," School"," Self employed"," United-States"
40,10," Exec-managerial"," White"," Female",28," <=50K"," Seperated"," School"," Gov"," United-States"
24,9," Adm-clerical"," Black"," Female",29," <=50K"," Unmaried"," School"," Self employed"," United-States"
21,10," Tech-support"," Black"," Female",36," <=50K"," Seperated"," School"," Private"," United-States"
47,3," Exec-managerial"," White"," Male",40," <=50K"," Maried"," School"," Private"," Other"
47,7," Craft-repair"," Black"," Male",39," <=50K"," Unmaried"," School"," Private"," United-States"
16,6," Handlers-cleaners"," Black"," Male",39," <=50K"," Unmaried"," School"," Private"," United-States"
42,12," Sales"," Asian-Pac-Islander"," Female",55," >50K"," Maried"," Bachelors"," Gov"," Other"
43,11," Adm-clerical"," Black"," Female",39," <=50K"," Maried"," Assoc_Degree"," Gov"," United-States"
37,16," Prof-specialty"," White"," Male",58," >50K"," Maried"," Post-Graduate"," Gov"," United-States"
48,8," Other-service"," White"," Female",43," <=50K"," Seperated"," School"," Private"," United-States"
65,9," Sales"," White"," Female",29," <=50K"," Seperated"," School"," Private"," United-States"
38,2," Transport-moving"," White"," Male",44," <=50K"," Unmaried"," School"," Private"," Other"
52,8," Craft-repair"," White"," Male",33," <=50K"," Maried"," School"," Self employed"," United-States"
39,12," Transport-moving"," White"," Male",40," <=50K"," Maried"," Assoc_Degree"," Private"," United-States"
48,9," Other-service"," Black"," Female",39," <=50K"," Unmaried"," School"," Private"," United-States"
74,15," Prof-specialty"," Asian-Pac-Islander"," Female",54," <=50K"," Unmaried"," Post-Graduate"," Private"," Other"
47,12," Sales"," White"," Male",39," <=50K"," Maried"," Bachelors"," Private"," Other"
49,3," Machine-op-inspct"," White"," Male",39," <=50K"," Maried"," School"," Private"," United-States"
22,8," Transport-moving"," White"," Male",39," <=50K"," Maried"," School"," Private"," United-States"
28,12," Prof-specialty"," Other"," Female",34," <=50K"," Unmaried"," Bachelors"," Private"," Other"
17,7," Craft-repair"," White"," Male",40," <=50K"," Unmaried"," School"," Private"," United-States"
55,16," Prof-specialty"," White"," Male",39," >50K"," Maried"," Post-Graduate"," Self employed"," United-States"
65,8," Adm-clerical"," Black"," Female",20," <=50K"," Seperated"," School"," Gov"," United-States"
24,12," Prof-specialty"," White"," Female",39," <=50K"," Unmaried"," Assoc_Degree"," Private"," United-States"
60,3," Other-service"," White"," Female",19," <=50K"," Widowed"," School"," Private"," United-States"
17,9," Handlers-cleaners"," White"," Female",29," <=50K"," Unmaried"," School"," Private"," United-States"
42,9," Craft-repair"," Black"," Male",39," <=50K"," Seperated"," School"," Private"," United-States"
22,7," Other-service"," Other"," Female",22," <=50K"," Seperated"," School"," Private"," Other"
27,12," Adm-clerical"," Black"," Female",34," <=50K"," Seperated"," Bachelors"," Gov"," United-States"
43,12," Adm-clerical"," White"," Female",65," <=50K"," Seperated"," Bachelors"," Gov"," United-States"
18,6," Other-service"," White"," Male",43," <=50K"," Unmaried"," School"," Private"," United-States"
35,9," Adm-clerical"," White"," Female",39," <=50K"," Seperated"," School"," Private"," United-States"
41,13," Adm-clerical"," White"," Female",40," >50K"," Unmaried"," Post-Graduate"," Private"," United-States"
23,3," Handlers-cleaners"," White"," Female",30," <=50K"," Unmaried"," School"," Private"," Other"
37,8," Craft-repair"," White"," Male",39," <=50K"," Maried"," School"," Private"," United-States"
22,7," Other-service"," White"," Female",40," <=50K"," Unmaried"," School"," Private"," United-States"
47,9," Adm-clerical"," Asian-Pac-Islander"," Male",39," >50K"," Maried"," School"," Gov"," United-States"
44,2," Machine-op-inspct"," White"," Male",39," <=50K"," Maried"," School"," Private"," Other"
36,9," Other-service"," Black"," Female",29," <=50K"," Seperated"," School"," Private"," Other"
40,9," Exec-managerial"," White"," Male",40," >50K"," Maried"," School"," Self employed"," United-States"
47,8," Craft-repair"," White"," Male",39," <=50K"," Maried"," School"," Private"," United-States"
46,14," Prof-specialty"," White"," Male",49," >50K"," Maried"," Bachelors"," Self employed"," Other"
36,12," Adm-clerical"," White"," Female",44," <=50K"," Seperated"," Bachelors"," Private"," United-States"
72,5," Sales"," White"," Male",11," <=50K"," Maried"," School"," Private"," United-States"
50,9," Adm-clerical"," White"," Female",40," <=50K"," Seperated"," School"," Private"," United-States"
32,8," Adm-clerical"," White"," Male",34," >50K"," Maried"," School"," Private"," United-States"
40,12," Adm-clerical"," White"," Male",45," >50K"," Maried"," Bachelors"," Gov"," United-States"
33,9," Adm-clerical"," White"," Female",28," <=50K"," Unmaried"," School"," Private"," United-States"
22,10," Prof-specialty"," White"," Female",29," <=50K"," Unmaried"," Assoc_Degree"," Private"," United-States"
20,10," Machine-op-inspct"," White"," Male",40," <=50K"," Unmaried"," Assoc_Degree"," Private"," Other"
25,12," Prof-specialty"," White"," Male",57," <=50K"," Maried"," Bachelors"," Self employed"," United-States"
39,8," Handlers-cleaners"," White"," Male",49," <=50K"," Maried"," School"," Self employed"," United-States"
58,12," Craft-repair"," White"," Male",44," <=50K"," Maried"," Bachelors"," Self employed"," United-States"
42,12," Prof-specialty"," Asian-Pac-Islander"," Female",58," >50K"," Maried"," Bachelors"," Gov"," Other"
35,9," Adm-clerical"," White"," Female",39," >50K"," Maried"," School"," Private"," United-States"
63,16," Prof-specialty"," White"," Male",26," >50K"," Maried"," Post-Graduate"," Gov"," United-States"
47,9," Craft-repair"," White"," Female",39," <=50K"," Seperated"," School"," Private"," United-States"
60,8," Adm-clerical"," White"," Female",39," >50K"," Seperated"," School"," Gov"," United-States"
27,12," Handlers-cleaners"," White"," Female",39," <=50K"," Unmaried"," Bachelors"," Private"," United-States"
50,14," Prof-specialty"," Asian-Pac-Islander"," Male",45," >50K"," Maried"," Post-Graduate"," Gov"," United-States"
58,10," Sales"," White"," Male",64," >50K"," Maried"," School"," Private"," United-States"
39,9," Protective-serv"," Black"," Male",48," <=50K"," Maried"," School"," Gov"," United-States"
60,14," Prof-specialty"," White"," Male",62," >50K"," Maried"," Bachelors"," Private"," United-States"
